0,03/22,  08:51:01, INFO  ,  :.main:
1,03/22,  08:51:01, INFO  ,  :...locate_configFile:
2,03/22,  08:51:01, INFO  ,  :..settcpimage:
3,03/22,  08:51:02, INFO  ,  :..reg_process:
4,03/22,  08:51:02, INFO  ,  :..reg_process:
5,03/22,  08:51:02, INFO  ,  :..reg_process:
6,03/22,  08:51:06, INFO  ,  :...read_physical_netif:
7,03/22,  08:51:06, INFO  ,  :...read_physical_netif:
8,03/22,  08:51:06, INFO  ,  :...read_physical_netif:
9,03/22,  08:51:06, INFO  ,  :...read_physical_netif:
10,03/22,  08:51:06, INFO  ,  :...read_physical_netif:
11,03/22,  08:51:06, INFO  ,  :...read_physical_netif:
12,03/22,  08:51:06, INFO  ,  :...mailbox_register:
13,03/22,  08:51:06, INFO  ,  :.....mailslot_create:
14,03/22,  08:51:06, INFO  ,  :....mailbox_register:
15,03/22,  08:51:06, INFO  ,  :.....mailslot_create:
16,03/22,  08:51:06, INFO  ,  :....mailbox_register:
17,03/22,  08:51:06, INFO  ,  :.....mailslot_create:
18,03/22,  08:51:06, INFO  ,  :....mailbox_register:
19,03/22,  08:51:06, INFO  ,  :.....mailslot_create:
20,03/22,  08:51:06, INFO  ,  :....mailbox_register:
21,03/22,  08:51:06, INFO  ,  :.....mailslot_create:
22,03/22,  08:51:06, INFO  ,  :....mailbox_register:
23,03/22,  08:51:06, INFO  ,  :.....mailslot_create:
24,03/22,  08:51:06, INFO  ,  :....mailbox_register:
25,03/22,  08:51:06, INFO  ,  :.....mailslot_create:
26,03/22,  08:51:06, INFO  ,  :....mailbox_register:
27,03/22,  08:51:06, INFO  ,  :.....mailslot_create:
28,03/22,  08:51:06, INFO  ,  :.....mailslot_create:
29,03/22,  08:51:06, INFO  ,  :....mailbox_register:
30,03/22,  08:51:06, INFO  ,  :.....mailslot_create:
31,03/22,  08:51:06, INFO  ,  :.....mailslot_create:
32,03/22,  08:51:06, INFO  ,  :....mailbox_register:
33,03/22,  08:51:06, INFO  ,  :.....mailslot_create:
34,03/22,  08:51:06, INFO  ,  :....mailbox_register:
35,03/22,  08:51:06, INFO  ,  :.....mailbox_register:
36,03/22,  08:51:06, INFO  ,  :......mailslot_create:
37,03/22,  08:51:11, INFO  ,  :.....mailbox_register:
38,03/22,  08:51:11, INFO  ,  :.....mailslot_create:
39,03/22,  08:51:11, INFO  ,  :....mailbox_register:
40,03/22,  08:51:11, INFO  ,  :..mailbox_register:
41,03/22,  08:51:11, INFO  ,  :...mailslot_create:
42,03/22,  08:51:11, INFO  ,  :..mailbox_register:
43,03/22,  08:51:11, INFO  ,  :...mailslot_create:
44,03/22,  08:51:11, INFO  ,  :..mailbox_register:
45,03/22,  08:51:11, INFO  ,  :.main:
46,03/22,  08:52:50, INFO  ,  :......rsvp_api_open:
47,03/22,  08:52:50, INFO  ,  :.......mailbox_register:
48,03/22,  08:52:50, INFO  ,  :........router_forward_getOI:
49,03/23,  08:52:50, INFO  ,  :.......init_policyAPI:
50,03/23,  08:52:50, INFO  ,  :.......init_policyAPI:
51,03/23,  08:52:50, INFO  ,  :.......init_policyAPI:
52,03/23,  08:52:50, INFO  ,  :.......init_policyAPI:
53,03/23,  08:52:50, INFO  ,  :.......init_policyAPI:
54,03/23,  08:52:50, INFO  ,  :.......init_policyAPI:
55,03/23,  08:52:50, INFO  ,  :.......init_policyAPI:
56,03/23,  08:52:50, INFO  ,  :.......init_policyAPI:
57,03/23,  08:52:50, INFO  ,  :.......init_policyAPI:
58,03/23,  08:52:50, INFO  ,  :.......init_policyAPI:
59,03/23,  08:52:51, INFO  ,  :.......init_policyAPI:
60,03/23,  08:52:51, INFO  ,  :.......init_policyAPI:
61,03/23,  08:52:51, INFO  ,  :......rpapi_getPolicyData:
62,03/23,  08:52:51, INFO  ,  :......rpapi_getPolicyData:
63,03/23,  08:52:51, INFO  ,  :......rpapi_getPolicyData:
64,03/23,  08:52:51, INFO  ,  :......rpapi_getPolicyData:
65,03/23,  08:52:51, INFO  ,  :......rpapi_getPolicyData:
66,03/23,  08:52:51, INFO  ,  :......rpapi_getPolicyData:
67,03/23,  08:52:51, INFO  ,  :......rpapi_getPolicyData:
68,03/23,  08:52:51, INFO  ,  :......rpapi_getPolicyData:
69,03/22,  08:51:01, INFO  ,  :.main:
70,03/22,  08:51:01, INFO  ,  :...locate_configFile:
71,03/22,  08:51:01, INFO  ,  :.main:
72,03/22,  08:51:01, INFO  ,  :..settcpimage:
73,03/22,  08:51:02, INFO  ,  :..reg_process:
74,03/22,  08:51:02, INFO  ,  :..reg_process:
75,03/22,  08:51:06, INFO  ,  :...read_physical_netif:
76,03/22,  08:51:06, INFO  ,  :...read_physical_netif:
77,03/22,  08:51:06, INFO  ,  :...read_physical_netif:
78,03/22,  08:51:06, INFO  ,  :...read_physical_netif:
79,03/22,  08:51:06, INFO  ,  :...read_physical_netif:
80,03/22,  08:51:06, INFO  ,  :....mailslot_create:
81,03/22,  08:51:06, INFO  ,  :...mailbox_register:
82,03/22,  08:51:06, INFO  ,  :.....mailslot_create:
83,03/22,  08:51:06, INFO  ,  :....mailbox_register:
84,03/22,  08:51:06, INFO  ,  :....mailbox_register:
85,03/22,  08:51:06, INFO  ,  :.....mailslot_create:
86,03/22,  08:51:06, INFO  ,  :....mailbox_register:
87,03/22,  08:51:06, INFO  ,  :....mailbox_register:
88,03/22,  08:51:06, INFO  ,  :....mailbox_register:
89,03/22,  08:51:06, INFO  ,  :.....mailslot_create:
90,03/22,  08:51:06, INFO  ,  :....mailbox_register:
91,03/22,  08:51:06, INFO  ,  :.....mailslot_create:
92,03/22,  08:51:06, INFO  ,  :.....mailslot_create:
93,03/22,  08:51:06, INFO  ,  :....mailbox_register:
94,03/22,  08:51:06, INFO  ,  :.....mailslot_create:
95,03/22,  08:51:06, INFO  ,  :.....mailslot_create:
96,03/22,  08:51:06, INFO  ,  :.....mailslot_create:
97,03/22,  08:51:06, INFO  ,  :....mailbox_register:
98,03/22,  08:51:06, INFO  ,  :.....mailbox_register:
99,03/22,  08:51:06, INFO  ,  :......mailslot_create:
100,03/22,  08:51:11, INFO  ,  :.....mailslot_create:
101,03/22,  08:51:11, INFO  ,  :....mailslot_create:
102,03/22,  08:51:11, INFO  ,  :...mailslot_create:
103,03/22,  08:51:11, INFO  ,  :...mailslot_create:
104,03/22,  08:51:11, INFO  ,  :...mailslot_create:
105,03/23,  08:52:50, INFO  ,  :......rsvp_api_open:
106,03/23,  08:52:50, INFO  ,  :.......mailbox_register:
107,03/23,  08:52:50, INFO  ,  :........router_forward_getOI:
108,03/23,  08:52:50, INFO  ,  :.......init_policyAPI:
109,03/23,  08:52:50, INFO  ,  :.......init_policyAPI:
110,03/23,  08:52:50, INFO  ,  :.......init_policyAPI:
111,03/23,  08:52:50, INFO  ,  :.......init_policyAPI:
112,03/23,  08:52:50, INFO  ,  :.......init_policyAPI:
113,03/23,  08:52:50, INFO  ,  :.......init_policyAPI:
114,03/23,  08:52:50, INFO  ,  :.......init_policyAPI:
115,03/23,  08:52:50, INFO  ,  :.......init_policyAPI:
116,03/23,  08:52:50, INFO  ,  :.......init_policyAPI:
117,03/23,  08:52:50, INFO  ,  :.......init_policyAPI:
118,03/23,  08:52:50, INFO  ,  :.......init_policyAPI:
119,03/23,  08:52:51, INFO  ,  :.......init_policyAPI:
120,03/23,  08:52:51, INFO  ,  :.......init_policyAPI:
121,03/23,  08:52:51, INFO  ,  :.......init_policyAPI:
122,03/23,  08:52:51, INFO  ,  :......rpapi_getPolicyData:
123,03/23,  08:52:51, INFO  ,  :......rpapi_getPolicyData:
124,03/23,  08:52:51, INFO  ,  :......rpapi_getPolicyData:
125,03/23,  08:52:51, INFO  ,  :......rpapi_getPolicyData:
126,03/23,  08:52:51, INFO  ,  :......rpapi_getPolicyData:
127,03/23,  08:52:51, INFO  ,  :......rpapi_getPolicyData:
128,03/23,  08:52:51, INFO  ,  :......rpapi_getPolicyData:
129,03/23,  08:52:51, INFO  ,  :......rpapi_getPolicyData:
130,03/23,  08:52:51, INFO  ,  :......rpapi_getPolicyData:
131,03/23,  08:52:51, INFO  ,  :......rpapi_getPolicyData:
